"RANK","PLAYER","TEAM_LOGO","TEAM_NAME","MIN","OFF","DEF","TOT","WAR","CONFERENCE"
47,"Patty Mills","http://content.sportslogos.net/logos/6/233/thumbs/23325472018.gif","San Antonio Spurs",1485,3.25327926382602,0.43089798705403,3.68417725088005,4.90629988632313,"Western"
48,"Joe Ingles","http://content.sportslogos.net/logos/6/234/thumbs/23467492017.gif","Utah Jazz",2371,0.384410704204942,0.899115212473479,1.28352591667842,4.89450630337602,"Western"
49,"Christian Wood","http://content.sportslogos.net/logos/6/223/thumbs/22321642018.gif","Detroit Pistons",1325,1.78402968538651,2.66106845449899,4.4450981398855,4.86819310083234,"Eastern"
50,"Dennis Schroder","http://content.sportslogos.net/logos/6/2687/thumbs/khmovcnezy06c3nm05ccn0oj2.gif","Oklahoma City Thunder",2226,-0.22978057337131,1.61065783402616,1.38087726065485,4.73847467994368,"Western"
51,"Mikal Bridges","http://content.sportslogos.net/logos/6/238/thumbs/23843702014.gif","Phoenix Suns",2042,0.098651950940227,1.67547757498616,1.77412952592638,4.71145228475159,"Western"
52,"Bradley Beal","http://content.sportslogos.net/logos/6/219/thumbs/21956712016.gif","Washington Wizards",2053,5.38658057969257,-3.74670628661492,1.63987429307765,4.65647246031004,"Eastern"
53,"Devonte' Graham","http://content.sportslogos.net/logos/6/5120/thumbs/512019262015.gif","Charlotte Hornets",2211,2.93719076379224,-1.53975024845278,1.39744051533946,4.65332243784367,"Eastern"
54,"OG Anunoby","http://content.sportslogos.net/logos/6/227/thumbs/22745782016.gif","Toronto Raptors",2459,-0.665782690512342,1.60060808312925,0.934825392616911,4.64909263248476,"Eastern"
55,"Nemanja Bjelica","http://content.sportslogos.net/logos/6/240/thumbs/24040432017.gif","Sacramento Kings",2011,2.03260511552672,-0.307310027346944,1.72529508817977,4.56125446269718,"Western"
56,"Steven Adams","http://content.sportslogos.net/logos/6/2687/thumbs/khmovcnezy06c3nm05ccn0oj2.gif","Oklahoma City Thunder",1890,0.317016696441178,1.65741770164073,1.97443439808191,4.54277467686944,"Western"
